year,donor,idrc,iso_code,donor_name,oda,share
2015,Czech Republic,21.4899730922996,CZE,Czech Republic,223.79667116509222,9.6
2015,Finland,50.83908450476793,FIN,Finland,1448.493027440396,3.51
2018,Denmark,75.20533508460886,DNK,Denmark,2763.004053765735,2.72
2016,Belgium,501.6327678338373,BEL,Belgium,2606.118286879673,19.25
2017,Finland,97.39599364479507,FIN,Finland,1207.1619514368456,8.07
2017,New Zealand,21.135527778165578,NZL,New Zealand,500.9467587435954,4.22
2019,Ireland,94.12488177329881,IRL,Ireland,1058.6188145731376,8.89
2020,Denmark,64.06370196199275,DNK,Denmark,2805.862433862434,2.28
2016,Finland,171.20167665340924,FIN,Finland,1200.5551778835259,14.26
2018,Poland,6.961137871828901,POL,Poland,817.1965009601024,0.85
2015,France,465.14027432458977,FRA,France,10165.654520917678,4.58
2017,Czech Republic,30.421831097993746,CZE,Czech Republic,338.73914012029405,8.98
2016,Spain,114.46500247091869,ESP,Spain,4785.486063902107,2.39
2019,Finland,107.04613020293598,FIN,Finland,1229.7661772702556,8.7
