Country,iso_code,Data Date,Refugees from Ukraine recorded in country as of date,difference,ratio22,ratio23,ratio24
Albania,ALB,07-2022,2192,2192.0,0.6666666666666666,0.3333333333333333,0.5
Albania,ALB,08-2022,2780,588.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Albania,ALB,09-2022,2780,0.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Albania,ALB,10-2022,2622,-158.0,0.25,0.75,0.25
Albania,ALB,11-2023,7495,4873.0,0.0,0.16666666666666663,0.8333333333333334
Albania,ALB,12-2022,2342,-5153.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Armenia,ARM,07-2023,605,605.0,0.0,0.5,0.5
Armenia,ARM,08-2022,489,-116.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Armenia,ARM,09-2022,489,0.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Armenia,ARM,10-2022,489,0.0,0.25,0.75,0.25
Armenia,ARM,11-2022,360,-129.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Armenia,ARM,12-2022,360,0.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Armenia,ARM,01-2023,478,118.0,0.0,1.0,0.0
Austria,AUT,07-2022,74492,74492.0,0.6666666666666666,0.3333333333333333,0.5
Austria,AUT,08-2022,79728,5236.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Austria,AUT,09-2022,82446,2718.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Austria,AUT,10-2022,84756,2310.0,0.25,0.75,0.25
Austria,AUT,11-2022,88748,3992.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Austria,AUT,12-2023,81870,-6878.0,0.0,0.08333333333333337,0.9166666666666666
Austria,AUT,01-2023,91232,9362.0,0.0,1.0,0.0
Azerbaijan,AZE,07-2022,4810,4810.0,0.6666666666666666,0.3333333333333333,0.5
Azerbaijan,AZE,08-2022,4218,-592.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Azerbaijan,AZE,10-2022,3925,-293.0,0.25,0.75,0.25
Azerbaijan,AZE,11-2022,3944,19.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Azerbaijan,AZE,12-2023,4555,611.0,0.0,0.08333333333333337,0.9166666666666666
Belgium,BEL,07-2022,52038,52038.0,0.6666666666666666,0.3333333333333333,0.5
Belgium,BEL,08-2022,54414,2376.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Belgium,BEL,09-2022,56464,2050.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Belgium,BEL,10-2022,58537,2073.0,0.25,0.75,0.25
Belgium,BEL,11-2023,73095,14558.0,0.0,0.16666666666666663,0.8333333333333334
Belgium,BEL,12-2022,64436,-8659.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Belgium,BEL,01-2023,65658,1222.0,0.0,1.0,0.0
Bulgaria,BGR,07-2022,86950,86950.0,0.6666666666666666,0.3333333333333333,0.5
Bulgaria,BGR,08-2022,77114,-9836.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Bulgaria,BGR,09-2022,56734,-20380.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Bulgaria,BGR,10-2022,55257,-1477.0,0.25,0.75,0.25
Bulgaria,BGR,11-2022,51516,-3741.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Bulgaria,BGR,12-2022,51140,-376.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Bulgaria,BGR,01-2024,53710,2570.0,0.0,1.0,1.0
Bosnia and Herzegovina,BIH,07-2022,222,222.0,0.6666666666666666,0.3333333333333333,0.5
Bosnia and Herzegovina,BIH,08-2022,218,-4.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Bosnia and Herzegovina,BIH,09-2022,231,13.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Bosnia and Herzegovina,BIH,10-2022,131,-100.0,0.25,0.75,0.25
Bosnia and Herzegovina,BIH,11-2022,132,1.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Bosnia and Herzegovina,BIH,12-2023,210,78.0,0.0,0.08333333333333337,0.9166666666666666
Bosnia and Herzegovina,BIH,01-2023,149,-61.0,0.0,1.0,0.0
Belarus,BLR,07-2022,10771,10771.0,0.6666666666666666,0.3333333333333333,0.5
Belarus,BLR,08-2022,12505,1734.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Belarus,BLR,09-2022,14219,1714.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Belarus,BLR,10-2022,15932,1713.0,0.25,0.75,0.25
Belarus,BLR,11-2023,37040,21108.0,0.0,0.16666666666666663,0.8333333333333334
Belarus,BLR,12-2022,17787,-19253.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Belarus,BLR,01-2023,19124,1337.0,0.0,1.0,0.0
Switzerland,CHE,07-2022,58643,58643.0,0.6666666666666666,0.3333333333333333,0.5
Switzerland,CHE,08-2022,64053,5410.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Switzerland,CHE,09-2022,65098,1045.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Switzerland,CHE,10-2022,66812,1714.0,0.25,0.75,0.25
Switzerland,CHE,11-2022,69607,2795.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Switzerland,CHE,12-2023,66480,-3127.0,0.0,0.08333333333333337,0.9166666666666666
Switzerland,CHE,01-2023,77450,10970.0,0.0,1.0,0.0
Cyprus,CYP,07-2022,12860,12860.0,0.6666666666666666,0.3333333333333333,0.5
Cyprus,CYP,08-2022,13035,175.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Cyprus,CYP,09-2022,13852,817.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Cyprus,CYP,10-2022,14404,552.0,0.25,0.75,0.25
Cyprus,CYP,11-2023,18230,3826.0,0.0,0.16666666666666663,0.8333333333333334
Cyprus,CYP,12-2022,14510,-3720.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Cyprus,CYP,01-2023,15158,648.0,0.0,1.0,0.0
Czech Republic,CZE,07-2022,400559,400559.0,0.6666666666666666,0.3333333333333333,0.5
Czech Republic,CZE,08-2022,423374,22815.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Czech Republic,CZE,09-2022,439043,15669.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Czech Republic,CZE,10-2022,453103,14060.0,0.25,0.75,0.25
Czech Republic,CZE,11-2022,464910,11807.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Czech Republic,CZE,12-2023,373080,-91830.0,0.0,0.08333333333333337,0.9166666666666666
Czech Republic,CZE,01-2023,478614,105534.0,0.0,1.0,0.0
Germany,DEU,06-2022,867000,867000.0,0.5833333333333333,0.41666666666666674,0.5833333333333333
Germany,DEU,07-2022,915000,48000.0,0.6666666666666666,0.3333333333333333,0.5
Germany,DEU,08-2022,971000,56000.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Germany,DEU,09-2022,997895,26895.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Germany,DEU,10-2022,1002668,4773.0,0.25,0.75,0.25
Germany,DEU,11-2022,1021667,18999.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Germany,DEU,12-2023,1125850,104183.0,0.0,0.08333333333333337,0.9166666666666666
Denmark,DNK,07-2022,32116,32116.0,0.6666666666666666,0.3333333333333333,0.5
Denmark,DNK,08-2022,33396,1280.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Denmark,DNK,09-2022,35193,1797.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Denmark,DNK,10-2022,36449,1256.0,0.25,0.75,0.25
Denmark,DNK,11-2022,36983,534.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Denmark,DNK,12-2023,36635,-348.0,0.0,0.08333333333333337,0.9166666666666666
Denmark,DNK,01-2023,39221,2586.0,0.0,1.0,0.0
Spain,ESP,07-2022,131771,131771.0,0.6666666666666666,0.3333333333333333,0.5
Spain,ESP,08-2022,139116,7345.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Spain,ESP,09-2022,144668,5552.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Spain,ESP,10-2022,149213,4545.0,0.25,0.75,0.25
Spain,ESP,11-2022,155473,6260.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Spain,ESP,12-2023,185860,30387.0,0.0,0.08333333333333337,0.9166666666666666
Estonia,EST,07-2022,47310,47310.0,0.6666666666666666,0.3333333333333333,0.5
Estonia,EST,08-2022,51501,4191.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Estonia,EST,09-2022,57257,5756.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Estonia,EST,10-2022,60980,3723.0,0.25,0.75,0.25
Estonia,EST,11-2022,62239,1259.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Estonia,EST,12-2023,50450,-11789.0,0.0,0.08333333333333337,0.9166666666666666
Estonia,EST,01-2023,65690,15240.0,0.0,1.0,0.0
Finland,FIN,07-2022,30372,30372.0,0.6666666666666666,0.3333333333333333,0.5
Finland,FIN,08-2022,36652,6280.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Finland,FIN,09-2023,61520,24868.0,0.0,0.33333333333333337,0.6666666666666666
Finland,FIN,10-2022,38588,-22932.0,0.25,0.75,0.25
Finland,FIN,11-2022,38588,0.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Finland,FIN,12-2022,47111,8523.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Finland,FIN,01-2023,47067,-44.0,0.0,1.0,0.0
France,FRA,07-2022,92156,92156.0,0.6666666666666666,0.3333333333333333,0.5
France,FRA,08-2022,101369,9213.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
France,FRA,09-2022,105000,3631.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
France,FRA,10-2023,69495,-35505.0,0.0,0.25,0.75
United Kingdom,GBR,07-2022,104000,104000.0,0.6666666666666666,0.3333333333333333,0.5
United Kingdom,GBR,08-2022,120600,16600.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
United Kingdom,GBR,09-2022,131700,11100.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
United Kingdom,GBR,10-2022,138400,6700.0,0.25,0.75,0.25
United Kingdom,GBR,11-2022,147800,9400.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
United Kingdom,GBR,12-2023,250360,102560.0,0.0,0.08333333333333337,0.9166666666666666
United Kingdom,GBR,01-2023,155500,-94860.0,0.0,1.0,0.0
Georgia,GEO,06-2022,22112,22112.0,0.5833333333333333,0.41666666666666674,0.5833333333333333
Georgia,GEO,07-2022,24296,2184.0,0.6666666666666666,0.3333333333333333,0.5
Georgia,GEO,08-2022,26379,2083.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Georgia,GEO,09-2023,27400,1021.0,0.0,0.33333333333333337,0.6666666666666666
Georgia,GEO,10-2022,26793,-607.0,0.25,0.75,0.25
Georgia,GEO,11-2022,25204,-1589.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Georgia,GEO,12-2022,25101,-103.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Greece,GRC,06-2022,15565,15565.0,0.5833333333333333,0.41666666666666674,0.5833333333333333
Greece,GRC,07-2022,18043,2478.0,0.6666666666666666,0.3333333333333333,0.5
Greece,GRC,08-2022,18745,702.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Greece,GRC,09-2022,19413,668.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Greece,GRC,10-2023,26945,7532.0,0.0,0.25,0.75
Greece,GRC,11-2022,19997,-6948.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Greece,GRC,12-2022,20955,958.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Croatia,HRV,07-2022,15911,15911.0,0.6666666666666666,0.3333333333333333,0.5
Croatia,HRV,08-2022,17487,1576.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Croatia,HRV,09-2022,18328,841.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Croatia,HRV,10-2022,18931,603.0,0.25,0.75,0.25
Croatia,HRV,11-2022,19259,328.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Croatia,HRV,12-2023,24150,4891.0,0.0,0.08333333333333337,0.9166666666666666
Croatia,HRV,01-2023,20164,-3986.0,0.0,1.0,0.0
Hungary,HUN,07-2022,26563,26563.0,0.6666666666666666,0.3333333333333333,0.5
Hungary,HUN,08-2022,29027,2464.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Hungary,HUN,09-2022,30000,973.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Hungary,HUN,10-2022,31290,1290.0,0.25,0.75,0.25
Hungary,HUN,11-2022,32271,981.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Hungary,HUN,12-2022,33218,947.0,0.08333333333333337,0.9166666666666666,0.08333333333333337
Hungary,HUN,01-2024,63775,30557.0,0.0,1.0,1.0
Ireland,IRL,07-2022,42764,42764.0,0.6666666666666666,0.3333333333333333,0.5
Ireland,IRL,08-2022,46481,3717.0,0.41666666666666663,0.5833333333333334,0.41666666666666663
Ireland,IRL,09-2022,49999,3518.0,0.33333333333333337,0.6666666666666666,0.33333333333333337
Ireland,IRL,10-2022,55144,5145.0,0.25,0.75,0.25
Ireland,IRL,11-2022,58511,3367.0,0.16666666666666663,0.8333333333333334,0.16666666666666663
Ireland,IRL,12-2023,102560,44049.0,0.0,0.08333333333333337,0.9166666666666666
Ireland,IRL,01-2023,71130,-31430.0,0.0,1.0,0.0
