iso_code,year,value,donor
ESP,2013,23.462458153993307,Spain
FRA,2019,1320.1680672268908,France
ITA,2020,241.0761293039907,Italy
CHE,2013,449.9850104926552,Switzerland
ITA,2012,249.3833400727861,Italy
SVN,2018,2.601677816714453,Slovenia
SWE,2020,165.2462645268401,Sweden
CZE,2012,10.760512936391368,Czech Republic
CHE,2015,525.7924767540152,Switzerland
NOR,2012,184.89443221651584,Norway
PRT,2012,0.8824154794811822,Portugal
NLD,2016,519.3942296181012,Netherlands
JPN,2021,0.27,Japan
ITA,2013,390.5554480356106,Italy
IRL,2016,1.18572695035461,Ireland
BEL,2012,134.54953991012198,Belgium
GBR,2015,405.0305984856343,United Kingdom
JPN,2019,0.3285870755750274,Japan
DEU,2019,3356.9501271701865,Germany
GRC,2018,28.548057259713705,Greece
CZE,2019,7.067669172932331,Czech Republic
IRL,2013,0.03986446083316723,Ireland
PRT,2018,10.002096875655273,Portugal
PRT,2014,0.9201840368073615,Portugal
PRT,2013,1.5703644050734848,Portugal
ISL,2020,6.338263093517179,Iceland
USA,2020,1566.6493344425958,United States
DEU,2013,143.7344656172328,Germany
JPN,2012,0.5712109672505712,Japan
CAN,2018,575.7710253783999,Canada
PRT,2015,3.295028142589118,Portugal
CZE,2016,23.96859196167155,Czech Republic
FRA,2018,840.4025579201174,France
POL,2019,6.270840055932021,Poland
AUS,2013,312.6403212558182,Australia
NOR,2018,106.28004179728316,Norway
POL,2021,16.88,Poland
CAN,2014,218.81508442017997,Canada
GRC,2012,17.900295354873357,Greece
ISL,2018,10.752688172043012,Iceland
KOR,2019,1.4829617164493059,South Korea
SVK,2014,0.9703028521023228,Slovakia
CHE,2018,303.1307154384077,Switzerland
DNK,2019,59.41008144397975,Denmark
SWE,2014,1019.6611431763172,Sweden
FIN,2020,63.36317135549872,Finland
AUS,2012,132.52586206896552,Australia
JPN,2020,0.30932817786370226,Japan
BEL,2018,260.91132216412336,Belgium
NOR,2016,956.9685369063284,Norway
DNK,2021,51.59,Denmark
AUT,2011,42.76114844227245,Austria
CAN,2020,724.9511550396505,Canada
CAN,2021,463.6,Canada
GRC,2021,1.09,Greece
AUT,2018,65.34433513170423,Austria
CHE,2014,479.8034934497816,Switzerland
