year,donor_code,donor,currency,value,prices,iso_code
2017,12,United Kingdom,usd,491.83,current,GBR
2011,301,Canada,usd,338.29,current,CAN
2017,11,Switzerland,usd,329.89,current,CHE
2011,820,New Zealand,usd,13.82,current,NZL
2011,18,Finland,usd,35.1428,current,FIN
2013,820,New Zealand,usd,19.49,current,NZL
2021,11,Switzerland,usd,368.35,current,CHE
2016,40,Greece,usd,146.61,current,GRC
2014,68,Czech Republic,usd,11.55,current,CZE
2021,302,United States,usd,1506.49,current,USA
2020,742,Korea,usd,1.37,current,KOR
2019,6,Italy,usd,444.83,current,ITA
2014,6,Italy,usd,839.94,current,ITA
2020,84,Lithuania,usd,1.2,current,LTU
2018,69,Slovak Republic,usd,0.79,current,SVK
2021,75,Hungary,usd,1.38,current,HUN
2011,20,Iceland,usd,0.172328,current,ISL
2017,20,Iceland,usd,22.16,current,ISL
2019,82,Estonia,usd,0.64,current,EST
2015,50,Spain,usd,32.29,current,ESP
2019,75,Hungary,usd,1.07,current,HUN
2019,50,Spain,usd,299.83,current,ESP
2011,6,Italy,usd,524.52,current,ITA
2013,82,Estonia,usd,0.23,current,EST
2020,72,Bulgaria,usd,4.82,current,BGR
2019,22,Luxembourg,usd,0.24,current,LUX
2016,9,Portugal,usd,4.33,current,PRT
2015,1,Austria,usd,438.99,current,AUT
2019,72,Bulgaria,usd,4.3,current,BGR
2018,701,Japan,usd,0.32,current,JPN
2012,22,Luxembourg,usd,0.03,current,LUX
2020,8,Norway,usd,47.37,current,NOR
2014,55,Turkey,usd,115.64,current,TUR
2014,2,Belgium,usd,186.72,current,BEL
2012,3,Denmark,usd,143.37,current,DNK
2021,61,Slovenia,usd,2.33,current,SVN
2021,1,Austria,usd,63.12,current,AUT
2020,2,Belgium,usd,134.26,current,BEL
2018,55,Turkey,usd,21.27,current,TUR
2016,4,France,usd,466.57,current,FRA
2011,7,Netherlands,usd,481.47,current,NLD
2021,18,Finland,usd,68.77,current,FIN
2017,69,Slovak Republic,usd,1.33,current,SVK
2013,22,Luxembourg,usd,0.343672,current,LUX
2018,302,United States,usd,1621.2,current,USA
2011,21,Ireland,usd,0.28,current,IRL
2011,4,France,usd,545.47,current,FRA
2013,10,Sweden,usd,705.16,current,SWE
2016,20,Iceland,usd,15.69,current,ISL
2017,40,Greece,usd,68.05,current,GRC
2013,55,Turkey,usd,87.3,current,TUR
2021,77,Romania,usd,0.45,current,ROU
2015,10,Sweden,usd,2396.58,current,SWE
2015,83,Latvia,usd,0.36,current,LVA
2021,84,Lithuania,usd,1.91,current,LTU
2018,820,New Zealand,usd,16.95,current,NZL
2021,10,Sweden,usd,87.91,current,SWE
2016,6,Italy,usd,1665.24,current,ITA
2014,18,Finland,usd,16.08,current,FIN
2011,55,Turkey,usd,213.5,current,TUR
2016,301,Canada,usd,390.43,current,CAN
2013,12,United Kingdom,usd,50.54,current,GBR
2020,40,Greece,usd,80.37,current,GRC
2016,5,Germany,usd,6585.08,current,DEU
2013,302,United States,usd,976.5,current,USA
2021,50,Spain,usd,223.23,current,ESP
2012,11,Switzerland,usd,654.38,current,CHE
2015,61,Slovenia,usd,7.12,current,SVN
2019,40,Greece,usd,134.43,current,GRC
2011,11,Switzerland,usd,537.46,current,CHE
2015,75,Hungary,usd,9.68,current,HUN
2017,2,Belgium,usd,316.06,current,BEL
2018,77,Romania,usd,0.46,current,ROU
2014,820,New Zealand,usd,19.82,current,NZL
2016,1,Austria,usd,596.13,current,AUT
2015,69,Slovak Republic,usd,1.74,current,SVK
2018,50,Spain,usd,275.54,current,ESP
2021,21,Ireland,usd,50.29,current,IRL
2017,701,Japan,usd,0.29,current,JPN
2015,301,Canada,usd,212.99,current,CAN
2014,50,Spain,usd,18.43,current,ESP
2021,72,Bulgaria,usd,6.5,current,BGR
2020,83,Latvia,usd,1.01,current,LVA
2020,69,Slovak Republic,usd,0.97,current,SVK
2012,302,United States,usd,831.53,current,USA
2015,5,Germany,usd,3018.56,current,DEU
2012,820,New Zealand,usd,19.26,current,NZL
