year,donor_code,donor,currency,value,prices,iso_code
2012,302,United States,usd,982.7301627,constant,USA
2015,5,Germany,usd,3605.912697,constant,DEU
2012,820,New Zealand,usd,20.51191644,constant,NZL
2015,84,Lithuania,usd,0.980111336,constant,LTU
2016,3,Denmark,usd,468.6154044,constant,DNK
2017,301,Canada,usd,541.5354613,constant,CAN
2019,10,Sweden,usd,303.0570857,constant,SWE
2017,9,Portugal,usd,6.426301241,constant,PRT
2011,8,Norway,usd,213.7216114,constant,NOR
2015,45,Malta,usd,,constant,MLT
2018,84,Lithuania,usd,1.281520404,constant,LTU
2013,1,Austria,usd,65.06053122,constant,AUT
2016,75,Hungary,usd,11.83924852,constant,HUN
2016,12,United Kingdom,usd,661.4921428,constant,GBR
2020,5,Germany,usd,2813.121354,constant,DEU
2011,40,Greece,usd,20.95662813,constant,GRC
2017,8,Norway,usd,169.832482,constant,NOR
2014,21,Ireland,usd,0.328424101,constant,IRL
2016,76,Poland,usd,6.794346879,constant,POL
2018,68,Czech Republic,usd,28.45774426,constant,CZE
2011,801,Australia,usd,0.017184484,constant,AUS
2018,83,Latvia,usd,1.209045613,constant,LVA
2013,7,Netherlands,usd,377.311111,constant,NLD
2015,2,Belgium,usd,272.8993111,constant,BEL
2017,72,Bulgaria,usd,4.689022933,constant,BGR
2013,20,Iceland,usd,0.392939236,constant,ISL
2020,82,Estonia,usd,0.620547278,constant,EST
2013,68,Czech Republic,usd,9.971402785,constant,CZE
2015,76,Poland,usd,10.47136199,constant,POL
2018,18,Finland,usd,60.23390949,constant,FIN
2020,77,Romania,usd,0.497338838,constant,ROU
2021,68,Czech Republic,usd,6.3,constant,CZE
2021,5,Germany,usd,2689.59,constant,DEU
2012,5,Germany,usd,82.82888559,constant,DEU
2014,82,Estonia,usd,0.299428252,constant,EST
2017,77,Romania,usd,0.06682693,constant,ROU
2017,84,Lithuania,usd,1.377643212,constant,LTU
2017,7,Netherlands,usd,968.9460421,constant,NLD
2017,76,Poland,usd,6.56851993,constant,POL
2019,69,Slovak Republic,usd,0.961787529,constant,SVK
2020,61,Slovenia,usd,2.859744864,constant,SVN
2017,55,Turkey,usd,13.84086558,constant,TUR
2017,82,Estonia,usd,2.925067912,constant,EST
2014,4,France,usd,466.9096606,constant,FRA
2014,61,Slovenia,usd,0.07977909,constant,SVN
2015,6,Italy,usd,1117.780109,constant,ITA
2013,701,Japan,usd,0.588742356,constant,JPN
2011,9,Portugal,usd,0.36222968,constant,PRT
2020,7,Netherlands,usd,596.819574,constant,NLD
2018,10,Sweden,usd,570.6634258,constant,SWE
2020,1,Austria,usd,32.53515733,constant,AUT
2013,4,France,usd,438.0504646,constant,FRA
2020,50,Spain,usd,205.1213099,constant,ESP
2016,82,Estonia,usd,2.88644843,constant,EST
2021,8,Norway,usd,52.25,constant,NOR
2012,4,France,usd,510.4807873,constant,FRA
2020,30,Cyprus,usd,,constant,CYP
2014,8,Norway,usd,239.4276964,constant,NOR
2015,62,Croatia,usd,1.484449391,constant,HRV
2017,75,Hungary,usd,3.779048816,constant,HUN
2015,3,Denmark,usd,452.7825989,constant,DNK
2011,12,United Kingdom,usd,32.82226099,constant,GBR
2018,7,Netherlands,usd,620.9208396,constant,NLD
2011,701,Japan,usd,0.535908658,constant,JPN
2014,77,Romania,usd,0.070940664,constant,ROU
2017,4,France,usd,690.1924575,constant,FRA
2019,301,Canada,usd,545.3410045,constant,CAN
2018,75,Hungary,usd,3.879120277,constant,HUN
2019,11,Switzerland,usd,310.4810684,constant,CHE
2016,820,New Zealand,usd,19.2871017,constant,NZL
2019,8,Norway,usd,67.61322287,constant,NOR
2015,77,Romania,usd,0.08996663,constant,ROU
2011,302,United States,usd,880.9714876,constant,USA
2016,701,Japan,usd,0.239811362,constant,JPN
2018,6,Italy,usd,1167.489013,constant,ITA
2016,302,United States,usd,1902.078748,constant,USA
2017,302,United States,usd,1597.306241,constant,USA
