Donor,refugees
Australia,
Austria,75000
Belgium,41000
Canada,330829
Czech Republic,348000
Denmark,25000
Finland,25892
France,57000
Germany,390000
Greece,21028
Hungary,1312550
Iceland,140
Ireland,33000
Italy,115000
Japan,1300
South Korea,
Luxembourg,5000
Netherlands,64000
New Zealand,4000
Norway,20000
Poland,3500000
Portugal,36000
Slovak Republic,382000
Slovenia,5738
Spain,109000
Sweden,80000
Switzerland,37000
United Kingdom,82000
United States,180000
